"","Id","Probability"
"1",1,0.0705931882406001
"2",2,0.0602347455743596
"3",3,0.0726166964162714
"4",4,0.0791267846135822
"5",5,0.0767689055995277
"6",6,0.0758127997376576
"7",7,0.0914221132301027
"8",8,0.0787644541851501
"9",9,0.0715704744942467
"10",10,0.0914221132301027
"11",11,0.0652846307094506
"12",12,0.075433426841005
"13",13,0.076807378864073
"14",14,0.0816801166740243
"15",15,0.0670465119836283
"16",16,0.0660930938625289
"17",17,0.0699485297664104
"18",18,0.0801537931427997
"19",19,0.0745776923159989
"20",20,0.0715704744942467
"21",21,0.0610695668757402
"22",22,0.0529257413777907
"23",23,0.0693634412832238
"24",24,0.0797002738857082
"25",25,0.0620500144904919
"26",26,0.0715704744942467
"27",27,0.0737308912937886
"28",28,0.0715704744942467
"29",29,0.0649842100257921
"30",30,0.0715704744942467
"31",31,0.073549148138431
"32",32,0.0715704744942467
"33",33,0.0762981708597869
"34",34,0.0750763512394857
"35",35,0.0630160087012741
"36",36,0.0813108119288291
"37",37,0.0728929480168465
"38",38,0.0715704744942467
"39",39,0.0701638816250771
"40",40,0.0531760702105999
"41",41,0.0742955674931207
"42",42,0.0787680341668593
"43",43,0.081340300211886
"44",44,0.0677348788546551
"45",45,0.0872681321249196
"46",46,0.0715704744942467
"47",47,0.0715704744942467
"48",48,0.0567735511795976
"49",49,0.0728929480168465
"50",50,0.0630247485362998
"51",51,0.059267412738385
"52",52,0.0816801166740243
"53",53,0.0617492015322067
"54",54,0.0732840075938387
"55",55,0.0715180388298928
"56",56,0.0679407890718631
"57",57,0.0728929480168465
"58",58,0.0780549924496955
"59",59,0.0783537475257201
"60",60,0.0759511872401834
"61",61,0.00995980972812722
"62",62,0.0423448858849936
"63",63,0.0844989349583115
"64",64,0.0798487692959558
"65",65,0.081991512933231
"66",66,0.0798487692959558
"67",67,0.0527282511712104
"68",68,0.0728929480168465
"69",69,0.0689600619849593
"70",70,0.0809136728187039
"71",71,0.0715704744942467
"72",72,0.0722024754692267
"73",73,0.0575232059828177
"74",74,0.0835496525611752
